pais_nome|24/03/2020|25/03/2020|26/03/2020|27/03/2020|28/03/2020|29/03/2020|30/03/2020|31/03/2020|01/04/2020|08/04/2020|09/04/2020|10/04/2020|11/04/2020|12/04/2020|13/04/2020|14/04/2020|15/04/2020|16/04/2020|17/04/2020|18/04/2020|19/04/2020|20/04/2020|21/04/2020|22/04/2020|05/05/2020|06/05/2020|07/05/2020|08/05/2020|09/05/2020|11/05/2020|13/05/2020|14/05/2020|15/05/2020|16/05/2020|17/05/2020|18/05/2020|19/05/2020|20/05/2020|21/05/2020|22/05/2020|24/05/2020|25/05/2020|26/05/2020|27/05/2020|28/05/2020|29/05/2020|30/05/2020|31/05/2020|01/06/2020|02/06/2020|03/06/2020|04/06/2020|05/06/2020|06/06/2020|07/06/2020|08/06/2020|09/06/2020|10/06/2020|11/06/2020|12/06/2020|13/06/2020|14/06/2020|15/06/2020|16/06/2020|17/06/2020|18/06/2020|19/06/2020
Estados Unidos|52966|55330|69219|100390|104671|138879|142410|164345|189531|425107|457035|469121|530463|558620|576695|610305|640791|664201|676676|712184|764177|777089|823081|850975|1233146|1253387|1261860|1289235|1324685|1364517|1418767|1421061|1472743|1473415|1516074|1516343|1550632|1559750|1597755|1611297|1668246|1693618|1714596|1724416|1751759|1756948|1796711|1806332|1839445|1860237|1880261|1903059|1933550|1936967|1962949|1993742|1993742|2028973|2048913|2083548|2090553|2115994|2148380|2173623|2202046|2225241|2257548
Brasil|2201|2201|2554|3417|3477|4256|4256|4661|5812|15927|17857|18176|20727|22169|22720|25262|28610|30425|30891|34221|38654|39144|43114|45757|115455|123809|127583|135773|148670|162699|185562|192081|219258|220291|241080|241080|262545|275382|296113|312074|354460|370060|391222|399632|419340|438812|469510|499966|519704|539045|560737|595110|643766|646006|677764|694116|694116|747561|775581|843406|829902|850796|888271|923189|955377|978142|1032913
Rússia|495|658|840|1036|1264|1534|1836|2337|2777|8672|10131|11917|13584|15770|18328|21102|24490|27938|32008|37055|42853|47121|52763|57999|155370|165929|177160|187859|198676|221344|242271|252245|262843|272043|281752|290678|299941|308705|317554|326448|344481|353427|362342|370680|379051|379051|396575|405843|414878|423741|432277|441108|449834|458689|467673|476658|476658|493657|502436|511423|520129|528964|537210|545458|553301|561091|569063
Espanha|39885|47610|56188|64095|72248|80100|85195|94417|102136|146752|152538|157022|163027|166831|169510|172752|180659|184945|186726|191726|198674|200210|204178|208389|247122|247122|221447|222857|262783|268143|271095|272646|274367|276505|277719|277719|278188|278803|280117|281904|282852|282480|283339|283849|284986|284986|286308|286308|286718|287012|287406|287740|288058|288058|288630|288797|288797|289360|289787|290289|290289|290685|291189|291408|291408|292348|245575
Reino Unido|8077|8078|9574|11660|14590|19522|19561|22141|29474|60733|65077|65077|78991|84279|88621|93873|98476|103093|103093|108692|120067|124743|129044|133495|194990|201111|206715|206715|215260|219183|229705|229705|236711|240161|243695|246406|248818|248818|250908|254195|259559|261184|265227|267240|269127|269127|272826|272826|276332|277985|279856|281661|283311|283311|286194|287399|287399|290143|291409|292950|292950|294375|296857|298136|299251|300469|301815
Itália|69176|69176|74386|86498|86498|97689|97689|101739|105792|139422|143626|143626|152271|156363|159516|162488|165155|168941|169323|172585|178972|181228|183957|187327|213013|214457|214457|215858|218268|219070|222104|222104|223885|224760|225435|225886|226699|227364|228006|228658|229858|230158|230555|231139|231732|231732|232664|232664|233197|233515|233836|234013|234531|234531|234998|235278|235278|235763|236142|236305|236305|236651|237290|237500|237828|238159|238159
Alemanha|32986|34055|39502|50852|50871|61164|62457|67051|72004|111656|116662|118235|125452|127854|128166|132513|134753|137904|138513|141752|145794|146286|148453|150457|167007|168162|168162|169430|170979|171879|174098|174131|175699|175699|176651|176651|177750|177827|178875|179347|180140|180621|181288|181303|182170|182445|183226|183294|183623|183933|184091|184470|185413|185413|185738|185966|185966|186866|186530|187251|187251|187423|187789|188356|190179|190126|190581
Índia|536|606|649|724|909|1024|1161|1417|1637|5274|5865|6412|7529|8447|9352|11487|12370|12759|13664|14793|17304|17656|18985|20471|46711|49391|52952|56516|59662|67152|74281|78003|81970|85940|90927|96169|101139|106750|112359|118447|131868|138845|150793|158052|158333|158333|181827|182990|198370|207183|216824|226713|236184|237680|256563|265869|265928|286798|298283|309603|310760|322783|343026|354161|367264|381091|395812
Turquia|1872|1872|2433|5698|5698|9217|9217|10827|13531|38226|42282|42282|52167|56956|61049|65111|69392|74193|74193|78546|86306|90980|95591|98674|129491|131744|131744|133721|137115|138657|143114|143114|146457|148067|149435|149435|151615|152587|153548|154500|156827|157814|158762|159797|160979|160979|163103|163103|164769|165555|166422|167410|168340|168340|169218|171121|171121|173036|174023|175218|175218|176677|179831|181298|182727|184031|185245
Peru|416|416|480|635|635|852|852|950|1065|2954|5256|5256|6848|7519|7519|10303|11475|12491|12491|13489|15628|15628|17837|19250|51189|54817|54817|58526|61847|67307|76306|76306|84495|84495|92273|92273|99483|99483|108769|108769|115754|119959|129751|129751|135905|141779|148285|155671|170039|170039|174884|178914|187400|187400|191758|196515|199696|203736|208823|214788|220749|225132|229736|232992|240908|244388|247925
França|22304|22304|25233|32964|32964|40174|40174|44550|52128|82048|112950|112950|93790|95403|136779|143303|147863|108847|108847|109252|112606|114657|117324|119151|132967|137150|137150|137779|138421|139063|140734|140734|141919|142291|142411|142411|143427|143845|144163|144163|144921|145279|145555|145746|149071|149071|151496|151496|152091|152091|151677|152444|153055|153055|153634|154188|154188|154591|155136|156287|156287|156813|157372|157716|158174|158641|159452
Irã|24811|27017|29406|32332|32332|38309|41495|44606|44606|67286|67286|67286|70029|71686|73303|74877|76389|77995|77995|80868|82211|83505|84802|85996|99970|101650|101650|104691|106220|107603|112725|114533|116635|116635|120198|122492|124603|126949|129341|131652|135701|137724|139511|141591|143849|143849|148950|151466|154445|157562|160696|164270|167156|167156|171789|173832|173832|177938|180156|182545|184955|187427|189876|192439|195051|197647|200262
Chile|922|922|1142|1610|1610|2139|2139|2449|3031|5546|5972|5972|6927|7213|7525|7917|8273|8807|8807|9252|10088|10507|10832|11296|22016|23048|24581|24581|25972|28866|34381|34381|39542|41428|43781|46059|49579|53617|57581|61857|69102|73997|77961|82289|86943|86943|94858|94858|105159|108686|113628|118292|122499|122499|127745|138846|138846|148496|154092|160846|160846|167355|179436|184449|220628|225103|231393
Canadá|2590|2792|3409|4622|4757|6268|6308|7435|8579|19181|20686|20748|23318|24301|25552|26898|28379|29930|30106|31927|35056|35708|38422|39813|62046|64403|63904|64922|66783|68848|72200|72278|74613|75770|77022|77295|79077|80081|81279|82413|84655|85679|86636|87485|88504|88504|90166|90190|91647|92753|93043|93700|94335|94335|95698|96149|96153|97060|97472|97898|97945|98410|99111|99426|99786|100163|100574
México|367|405|475|585|717|848|993|1096|1215|2785|3184|3441|3844|4219|4661|5014|5399|5847|6297|6875|8261|8261|8772|9501|26025|26025|27634|29616|31522|35022|38324|40186|45032|45032|47144|49219|51633|54346|56594|60548|65856|68620|71105|74560|78023|78023|84627|87512|90664|93435|97326|101238|105680|110026|113619|117103|117103|124301|129184|133974|139196|142690|146837|150264|154863|159793|165455
Arábia Saudita|767|767|900|1104|1104|1299|1299|1453|1720|2932|3287|3287|4033|4462|4934|5369|5862|6380|6380|7142|9362|10434|11631|12772|30251|31938|31938|33731|35432|39048|44830|44830|49176|52016|54752|54752|59854|59854|65077|67719|72560|74795|76726|78541|80185|80185|83384|83384|87142|89011|91182|93157|95748|95748|101914|105283|105283|112288|116021|119942|119942|123308|132048|136315|141234|145991|150292
China (continental)|0|0|81285|81285|81394|81439|81439|81518|81554|81802|81865|81907|81953|82052|82160|84393|84489|84593|88273|88242|88302|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|88423|82965|82967|82971|82974|82985|82992|82993|82995|82995|83000|83001|83017|83022|83021|83022|83027|83030|83036|83040|83040|83046|83057|83064|83075|83132|83181|83221|83265|83293|83325
Paquistão|972|1000|1106|1296|1296|1571|1625|1865|2039|4187|4489|4601|5011|5230|5496|5837|6383|6919|7236|7516|8348|8425|9565|10076|22049|23214|24073|25837|27474|30941|35298|35788|38799|38799|40151|43158|43966|45898|48091|50694|54601|56349|57705|59151|61227|61227|66457|69496|72460|76398|83247|85264|89249|93983|98943|103671|103671|113702|119536|125933|132405|139230|144478|148921|154760|160118|165062
Bélgica|4269|4937|6235|7284|7284|10836|11899|12775|13964|23403|24983|26667|28018|29647|30589|31119|33573|34809|36138|37183|38496|39983|40956|41889|50509|50781|51420|52011|52596|53449|53981|54288|54644|54989|55280|55559|55791|55983|56235|56511|57092|57342|57455|57592|57849|57849|58186|58381|58517|58615|58685|58767|58907|59072|59226|59348|59348|59569|59711|59819|59918|59918|60100|60155|60244|60348|60476
Catar|501|526|537|562|562|634|634|693|781|2210|2376|2512|2728|2979|3231|3428|3711|4103|4103|5008|5448|6015|6533|7141|17142|17972|18890|18890|20201|22520|26539|28272|29425|30972|32604|32604|35606|35606|38651|30481|43714|45465|47207|48947|50914|50914|55262|55262|58433|60259|60259|63741|65495|65495|68790|70158|70158|73595|75071|76588|76588|78416|80876|82077|83174|84441|85462
Bangladesh|39|39|44|48|48|48|48|49|51|218|330|424|482|621|803|1012|1231|1572|1838|2144|2456|2948|3382|3772|10929|11719|12425|13134|13770|14657|17822|18863|20065|20995|22268|23870|25121|26738|28511|30205|33610|35585|36751|38292|40321|40321|44608|47153|49534|52445|55140|57563|60391|63026|65769|68504|68504|74865|78052|81523|84379|87520|90619|94481|98489|102292|105535
Países Baixos|5578|5585|6440|8641|8641|10923|10866|12595|13614|20549|21762|21762|24413|25587|26551|27419|28153|29214|29214|31589|32655|33405|34134|34842|41087|41319|41319|42093|42382|42627|43211|43481|43681|43870|43995|44141|44249|44447|44700|44888|45236|45445|45578|45769|45950|45950|46257|46422|46545|46647|46733|46942|47152|47152|47574|47739|47739|48087|48251|48461|48461|48783|48948|49087|49204|49319|49426
Belarus|81|86|86|94|94|94|94|152|152|1066|1486|1486|2226|2578|2919|3281|3728|4204|4779|4779|4779|6264|6723|7281|18350|19255|20168|20168|22052|22973|25825|25825|27730|28681|29650|30572|31508|32426|33371|34303|36198|37144|38059|38956|39858|39858|41658|41658|43403|44255|45116|45981|46868|46868|48630|49453|49453|51066|51816|52520|52520|53241|54680|55369|56032|56657|57333
Equador|1049|1082|1211|1403|1627|1890|1890|1966|2302|3995|4965|4965|7257|7466|7529|7603|7858|8225|8225|8450|9468|10128|10398|10850|31881|31881|31881|30298|30298|30298|30486|30486|31467|31467|33182|33182|34151|34151|35306|35306|36258|37355|37656|37656|38103|38471|38571|38571|39098|40414|40966|40966|42106|42106|42728|43378|43378|44440|44440|45778|45778|46356|47322|47943|48490|49097|49731
Suécia|2299|2345|2554|3069|3069|3719|3744|4490|5000|8571|9245|9245|10151|10483|10948|11445|11927|12549|12549|13822|14385|14777|15322|16004|23216|23918|24623|25265|25921|26322|27909|27909|29207|29677|30143|30377|30799|31523|32172|32809|33459|33843|34440|35088|35727|35727|37113|37113|37814|38589|40803|41883|42939|42939|44730|45133|45133|46814|48288|49684|49684|50931|52383|53323|54562|56043|56043
Singapura|558|558|631|732|732|844|844|926|1000|1623|1910|1910|2299|2532|2918|3252|3699|4427|5050|5992|6588|8014|9125|10141|19410|20198|20939|21707|22460|23822|25346|26098|26891|27356|28038|28343|28794|29364|29812|30426|31616|31960|32343|32876|33249|33249|34366|34884|35292|35836|36405|36922|37183|37527|37910|38296|38296|38965|39387|39850|40197|40604|40818|40969|41216|41473|41615
Emirados Árabes Unidos|248|248|333|405|405|570|570|611|664|2659|2659|2990|3736|4123|4123|4933|5365|5825|5825|6302|6781|7265|7755|8238|15192|15738|16240|16240|16793|18198|20386|21084|21831|22627|23358|23358|25063|25063|26898|26898|29485|30307|31086|31969|32532|32532|33896|33896|34557|35788|36359|37018|37642|37642|38268|39376|39376|39904|40986|41499|41499|41990|42636|42982|43364|43752|44145
Portugal|2362|2995|2995|4268|5170|5962|6408|7443|8251|13141|13956|13956|15987|16585|16934|17448|18091|18841|18841|19022|20206|20863|21379|21982|25702|26182|26715|26715|27406|27581|28132|28132|28583|28810|29036|29209|29432|29660|29912|30200|30623|30788|31007|31292|31596|31596|32203|32500|32700|32895|33261|33592|33969|33969|34693|34885|34885|35600|35910|36180|36180|36463|37036|37336|37672|38089|38464
África do Sul|554|709|709|1170|1170|1280|1280|1326|1353|1845|1934|1934|2028|2173|2272|2415|2506|2605|2605|2783|3158|3158|3465|3635|7572|7572|7808|8232|8895|10015|12074|12074|13524|13524|15515|15515|16433|17200|19137|20125|22583|23615|24264|24264|25937|25937|30967|30967|34357|35812|37525|40792|43434|43434|45973|50879|50879|52991|55421|61927|61927|65736|70038|73533|80412|83890|87815
Suíça|9877|10465|11125|12928|12928|14799|15546|16121|16597|23254|24051|24051|25107|25398|25688|25956|26336|26588|26657|27078|27740|27944|28063|28268|30009|30060|30126|30126|30207|30305|30413|30463|30514|30514|30587|30597|30618|30658|30694|30707|30736|30746|30761|30776|30796|30796|30845|30845|30871|30874|30893|30913|30936|30936|30956|30972|30972|31011|31044|31063|31094|31094|31131|31146|31183|31200|31217
Colômbia|306|378|470|539|539|702|702|798|906|1780|2054|2223|2473|2776|2776|2852|3105|3105|3233|3439|3792|3792|4149|4356|8613|8613|8959|9456|10051|11063|12272|12930|14216|14216|15574|15574|16295|16935|17687|18330|20177|21175|23003|23003|24104|25366|26688|28236|29383|30493|31833|33354|36635|36635|38027|39236|39236|42078|43682|45212|46858|48746|50939|53063|54931|57046|60217
Indonésia|686|790|893|1046|1155|1285|1414|1528|1677|2956|3293|3512|3842|4241|4557|4839|5136|5516|5923|6248|6575|6760|7135|7418|12071|12438|12776|13112|13645|14265|15438|16006|16496|17025|17514|18010|18496|19189|20162|20796|22271|22750|23165|23851|24538|24538|25773|26473|26940|27549|28233|28818|29521|30514|31186|32033|32033|34316|35295|36406|37420|38277|39294|40400|41431|42762|43803
Kuwait|191|195|208|225|225|255|266|266|317|855|910|910|1154|1234|1300|1355|1405|1524|1524|1751|1915|1995|2080|2248|5804|6286|6286|6567|7208|8688|11028|11028|12860|12860|14850|15691|16764|17568|18609|19564|21302|21967|22575|23267|24112|24112|26192|26192|27762|28649|29359|29921|30644|30644|31848|32510|32510|33823|34432|34952|35466|35920|36431|36958|37533|38074|38678
